AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.859857398054 (0.00222021060705),0.936 (0.00136821051012),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=200, random_state=None)",0.479013990673 (0.0103896541983),0.36034655115 (0.0108848977718),0.2395934011 (0.00545028924426),0.206793701833 (0.00480626681021),0.123360111991 (0.00274845252664),0.0871953460538 (0.00197260786892),0.0778002484051 (0.0017591221819),0.358620033905 (0.00481111033856),0.539272341621 (0.00836924830927),0.717073572569 (0.00494672993394),0.773605482623 (0.00180228985013),0.922941295017 (0.00290476969322),0.978493464553 (0.00342469251126),0.989462137761 (0.00224564570361),0.41010693769 (0.00527262471166),0.431956598271 (0.0097515834062),0.35913752998 (0.00614782676637),0.326318785507 (0.00594449681611),0.217618608398 (0.0042414529518),0.160114997826 (0.00331272386183),0.14425206368 (0.00301126765476),0.595850372314 (0.0949817529215),21.0720359325 (4.88226804381)
0.860243579514 (0.00269433187215),0.9358 (0.0013977760113),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=100, random_state=None)",0.478214523651 (0.0109341709468),0.359813395535 (0.0124758698667),0.239802993315 (0.00565503449849),0.20711756007 (0.00543813778819),0.123541676806 (0.00278215203941),0.087244736036 (0.00199829562671),0.0778282483979 (0.0017298005052),0.35801280952 (0.00485506260975),0.538432558012 (0.0104219384751),0.717760141657 (0.00503898483459),0.774846740118 (0.00320298707431),0.924330873376 (0.0026180767149),0.979087468162 (0.0041336929111),0.98996804698 (0.00283947289645),0.409416823662 (0.00564748936974),0.431304162401 (0.0117169294066),0.35945889426 (0.00644485594704),0.32683277516 (0.00695468698636),0.217939817375 (0.00429993801778),0.160206249158 (0.00336245966594),0.144305641357 (0.00295913278566),0.366114664078 (0.0787128102126),13.3713963985 (3.050377797)
0.859086595809 (0.00282578915438),0.935706666667 (0.00139799856938),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",0.474822200202 (0.0131498112234),0.358334663318 (0.0115820650742),0.238495197367 (0.00641877965834),0.205901465332 (0.00561365112569),0.123447173823 (0.00295785684131),0.0871650633248 (0.00190452051224),0.0777658323996 (0.00178897336495),0.355482687359 (0.00523659286887),0.536480405783 (0.0105843966455),0.713819811266 (0.00635636684432),0.770353533969 (0.00580678444864),0.923999005257 (0.00259005684545),0.978311719447 (0.00401663238421),0.98955872445 (0.00235538789794),0.406518017316 (0.0071901529832),0.429615427386 (0.0109473270753),0.357495605411 (0.00763868285808),0.324918727129 (0.00729278064302),0.217783596359 (0.00461304746951),0.160061548866 (0.00318997519473),0.144193823052 (0.00306477355484),0.243587398529 (0.0271487075265),8.18403706551 (0.888232323682)
0.841420247308 (0.00491323855637),0.93652 (0.0017964904057),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.476615589607 (0.0115516145512),0.358147284239 (0.00808680376521),0.233294450925 (0.0054099926948),0.20101319824 (0.00576157699132),0.11900539964 (0.00318514303587),0.0859535785486 (0.00223246112121),0.0773296764707 (0.00188299556999),0.356781073432 (0.00269261304423),0.536065838011 (0.00663959114444),0.698245263565 (0.00794806302829),0.751889730457 (0.00730533618825),0.890248179978 (0.00652701260187),0.964547503854 (0.0029972567798),0.983437705647 (0.00223542976122),0.408024977362 (0.00487867973863),0.429346905329 (0.00648160288574),0.349698597345 (0.00632805038363),0.317189095124 (0.00758702351261),0.209933310646 (0.00504877018539),0.157834662511 (0.00379323787913),0.143379135922 (0.0032424075681),0.121401548386 (0.000840373267587),1.34863481522 (0.0137686463233)
0.843627664529 (0.00454737416783),0.936573333333 (0.00154594810895),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.478081279147 (0.0162842010579),0.357947350883 (0.0108987623308),0.234494250958 (0.00578925676615),0.202106385815 (0.00570740081113),0.119098726752 (0.00286123080941),0.0862361672815 (0.00233576359531),0.0774479432179 (0.00183579183796),0.357846062423 (0.00757810449205),0.535664006605 (0.00739341527351),0.701788892152 (0.00580152375484),0.755974540522 (0.00593356811395),0.890994851096 (0.00439505700953),0.967618698912 (0.00453539091964),0.984950875903 (0.00275385381805),0.409259065058 (0.0101557496441),0.429074315651 (0.00952588770749),0.351491110621 (0.00672379327105),0.318913780933 (0.00745928265949),0.210099300402 (0.00446791989298),0.158352189479 (0.00398256465357),0.14359850765 (0.00315488775916),0.133899354935 (0.00165143164933),2.56310896873 (0.0335360738123)
0.842241379939 (0.00462636520102),0.93682 (0.00140358271735),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.473950699534 (0.0142428340217),0.357747417527 (0.00890794783351),0.23392767872 (0.00628597601048),0.201413144914 (0.00582660675157),0.119177144845 (0.00294041236178),0.0861561708369 (0.00224028840508),0.0774322575585 (0.00180395312426),0.354761899913 (0.00544916312217),0.535430639161 (0.00607437366849),0.70005430543 (0.00587260094049),0.753387057554 (0.0080140381888),0.891598783351 (0.00729183240983),0.966745303706 (0.00373168077123),0.9847606748 (0.00275795883349),0.405727994371 (0.00794448354303),0.428855782513 (0.00722878570196),0.350637020659 (0.00744965095815),0.317820351243 (0.0077114035934),0.210238112241 (0.00462991587087),0.158205620963 (0.0038074612471),0.143569524888 (0.00309602581528),0.131967449188 (0.000675379088566),2.56230344772 (0.0122516712903)
0.842196543914 (0.00480468208437),0.936593333333 (0.00136453492281),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.475016655563 (0.0163299279945),0.357614128624 (0.00918243500148),0.233794367605 (0.00541204543352),0.201114284913 (0.00571775212849),0.119205386308 (0.00324759301202),0.0860672858984 (0.00224257950359),0.0773604588546 (0.00184018932626),0.355528362507 (0.00661786522406),0.535213066804 (0.00531694429213),0.699717519737 (0.00549405408749),0.752291276624 (0.00718718016037),0.891739281371 (0.00737488873488),0.965746852422 (0.00374490379316),0.983850531674 (0.00241309900412),0.406619947073 (0.00967295988725),0.42869021854 (0.00737351993009),0.35044495682 (0.00616206751571),0.317350813372 (0.00752366490353),0.210285967628 (0.00516386970478),0.158042387869 (0.00381177503023),0.143436433973 (0.00316325760013),0.132701730728 (0.000468729219016),2.56385183334 (0.0186935567386)
0.838770760367 (0.00498127441663),0.9364 (0.00153304345086),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.471952031979 (0.0142801809104),0.356947684105 (0.00845203004998),0.232527912015 (0.00620165398054),0.200127785326 (0.00612616601508),0.118470575054 (0.00345724058157),0.0860850628861 (0.00238387350147),0.0773146151131 (0.00180701927784),0.353279189162 (0.00634653641088),0.534239040545 (0.00499032496176),0.695856315926 (0.00404999177129),0.748542251984 (0.00599259691469),0.886209559516 (0.00772199565463),0.965906343342 (0.00439377396966),0.983263558215 (0.00304781721539),0.404025930381 (0.00847683241469),0.427898738874 (0.00650857387746),0.348537720954 (0.00725879570444),0.315788933188 (0.00809992295893),0.208988774727 (0.00552999635775),0.158074496826 (0.00407003507703),0.143351390976 (0.00310262012108),0.122139835358 (0.000573297977874),1.46958422661 (0.0105113244145)
0.839631434765 (0.00474127437152),0.936613333333 (0.00126694733733),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.474217188541 (0.0143780636485),0.356481172942 (0.00945177170185),0.233261123146 (0.00628950904583),0.200373283562 (0.00587799165046),0.118418772082 (0.00315689088344),0.0860050664415 (0.00215064818592),0.0773459864319 (0.0017731734305),0.354949139243 (0.00478802096001),0.533525182814 (0.00702757539345),0.698062115185 (0.00632471759965),0.749474117827 (0.00654347817876),0.885862100431 (0.0064118495638),0.965074898868 (0.00377668518257),0.983673133457 (0.00317692429256),0.405947954314 (0.007679085174),0.427334448518 (0.00800501094879),0.349638232921 (0.00748298492389),0.316177414995 (0.00774155078453),0.20889851954 (0.00500093827019),0.157928484897 (0.00364414900337),0.14340967073 (0.00303989289672),0.132061195374 (0.00147823503964),2.73093657494 (0.0528384139837)
0.839326184969 (0.00472859607433),0.936426666667 (0.00140845068545),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.469153897402 (0.0151066598745),0.356281239587 (0.00972963349045),0.232727878687 (0.0059791558318),0.199786695107 (0.00512153886833),0.118565428971 (0.00292846771745),0.0860034967452 (0.00225534294107),0.0772566462696 (0.00182423114682),0.351191987099 (0.00771254943179),0.533227147596 (0.00781229804356),0.696511167089 (0.00827231884898),0.747350465616 (0.0058020423581),0.887002296009 (0.00634641538367),0.965043974306 (0.00388838370715),0.982557102213 (0.00226242777978),0.401635414286 (0.00970859308118),0.427095504362 (0.00850196850507),0.348844517903 (0.00716629026182),0.315258070783 (0.00657929979482),0.209158439244 (0.00460316226011),0.157925440901 (0.00383620159741),0.143244249089 (0.00313406322465),0.150510787964 (0.000447461509535),0.692529582977 (0.00782633131589)
0.840657762439 (0.00511226258483),0.936513333333 (0.00150769876154),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.474750166556 (0.0120849165552),0.356281239587 (0.00954994299187),0.232661223129 (0.00563071810217),0.200879882682 (0.00535550350375),0.118750453298 (0.0030691205031),0.0860398548893 (0.0022933056048),0.0773767663554 (0.00183246967208),0.355370756913 (0.00236322775174),0.533203639864 (0.00545375643308),0.696308710479 (0.0054177993451),0.751438281977 (0.00786144649492),0.88837418845 (0.00645442306796),0.965439231248 (0.00520688430267),0.984055097634 (0.00322855455623),0.40641909758 (0.00519590444825),0.42708771122 (0.0077991878124),0.348744224437 (0.00648706784082),0.316982976857 (0.00700582937275),0.209484499683 (0.00484803092932),0.157992022019 (0.00390796123271),0.143466635965 (0.00314984510966),0.132835912704 (0.00163496917948),2.74496645927 (0.0609945770838)
0.841651120887 (0.0050777195719),0.936426666667 (0.00164538411591),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.475016655563 (0.0160170756565),0.356281239587 (0.0109576936626),0.233594400933 (0.00575365273509),0.200879882682 (0.005776364825),0.118872075195 (0.00315429971228),0.0861561708369 (0.00211063832358),0.0774630353293 (0.00177584910246),0.355532997795 (0.00635796088815),0.533166615832 (0.00753010422979),0.699109738695 (0.00719396990983),0.75139873624 (0.00826333625149),0.889260412341 (0.0069933621288),0.966784985565 (0.00431629864244),0.985169216039 (0.00311147135595),0.40662297667 (0.0093736025672),0.4270759029 (0.00963023350527),0.350144024779 (0.00676290240872),0.316979510784 (0.00765478688479),0.209698370511 (0.00499893663729),0.158206148143 (0.00357184756447),0.143626771174 (0.00304432627072),0.122273445129 (0.000389596210173),1.33400874138 (0.0516911957783)
0.843349915051 (0.00478316087605),0.93664 (0.00128847886198),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.473684210526 (0.0157262386396),0.356081306231 (0.0101828709723),0.23469421763 (0.00584672214887),0.201839754699 (0.00549868095275),0.11927204853 (0.00322672702187),0.0861561708369 (0.00229722431286),0.0774871573664 (0.00180009600288),0.354528941598 (0.0056242204243),0.53291342093 (0.00829207531289),0.702381385635 (0.00554824499138),0.75499326709 (0.00523980127887),0.892244175021 (0.00768430005645),0.966730673849 (0.00410828701255),0.985460025652 (0.00266323577879),0.405478011049 (0.0088665247742),0.426850861228 (0.00902888331936),0.351790074969 (0.00678952152324),0.318494461775 (0.00712446923729),0.210403742179 (0.00513092355782),0.158205417204 (0.00391127132522),0.143671329551 (0.00308864244982),0.134143590927 (0.00131567094617),2.55462641716 (0.0149347565193)
0.855925170649 (0.00365470339123),0.9351 (0.00129529061518),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=25, random_state=None)",0.466494653117 (0.0141087095109),0.354856073061 (0.0105297112745),0.233858199315 (0.00618591193443),0.20390878242 (0.00622631578272),0.122981411134 (0.0026161360503),0.0867322631671 (0.00181636616516),0.0776674668046 (0.00170562594335),0.350474742705 (0.00521924674017),0.532456135781 (0.0108682039206),0.711634052054 (0.00439881362727),0.768261943673 (0.0078081656636),0.923534316468 (0.00307837475727),0.977601805893 (0.00525492488109),0.99026606482 (0.00206770535779),0.400184572025 (0.00768531890567),0.425816962225 (0.00994886263194),0.351984547345 (0.0070535055297),0.322236971829 (0.00809435317227),0.217046895141 (0.00404682125101),0.159322926162 (0.00305585301758),0.144032473308 (0.00291671151185),0.134726381302 (0.00852491059149),4.54781179428 (0.0856552790046)
0.851374330212 (0.00338445909182),0.935893333333 (0.00104783374423),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=100, random_state=None)",0.445110450113 (0.0119376714377),0.350991190219 (0.0107611154944),0.232225801773 (0.00684182731463),0.19709841126 (0.0058412793843),0.123577327365 (0.00277585046114),0.0867328257681 (0.00200762911347),0.0776771957127 (0.00182924052662),0.333224256415 (0.00309951389713),0.525488855766 (0.00686238969725),0.695121486858 (0.00623994994292),0.73911002932 (0.00730150195682),0.925142028197 (0.00558338236902),0.976161492281 (0.00378924747269),0.989044949302 (0.00209771474924),0.38107167638 (0.00561444752356),0.420809527616 (0.00934334330822),0.348105726287 (0.00825826606457),0.311176847771 (0.00774202055891),0.218018011254 (0.00431350114587),0.159304540591 (0.00339537177244),0.144036025147 (0.00314096669711),0.195849752426 (0.045979407446),12.7491276264 (2.57475656438)
