AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.842241379939 (0.00462636520102),0.93682 (0.00140358271735),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.473950699534 (0.0142428340217),0.357747417527 (0.00890794783351),0.23392767872 (0.00628597601048),0.201413144914 (0.00582660675157),0.119177144845 (0.00294041236178),0.0861561708369 (0.00224028840508),0.0774322575585 (0.00180395312426),0.354761899913 (0.00544916312217),0.535430639161 (0.00607437366849),0.70005430543 (0.00587260094049),0.753387057554 (0.0080140381888),0.891598783351 (0.00729183240983),0.966745303706 (0.00373168077123),0.9847606748 (0.00275795883349),0.405727994371 (0.00794448354303),0.428855782513 (0.00722878570196),0.350637020659 (0.00744965095815),0.317820351243 (0.0077114035934),0.210238112241 (0.00462991587087),0.158205620963 (0.0038074612471),0.143569524888 (0.00309602581528),0.131967449188 (0.000675379088566),2.56230344772 (0.0122516712903)
0.840691735009 (0.00506297967953),0.93672 (0.00178395316331),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.47235176549 (0.0111480349971),0.356014661779 (0.00909299988047),0.233594400933 (0.00557122444765),0.200373283562 (0.00539162136359),0.118712085861 (0.00330429514292),0.0860850628861 (0.00219457615032),0.0773930434101 (0.00191894666903),0.353617948909 (0.00482307446663),0.532829914661 (0.00616080287164),0.699109955351 (0.00575412018491),0.749507817861 (0.00420687192213),0.888036765228 (0.00750854972895),0.965962785163 (0.00426345757178),0.984228713843 (0.00346033121601),0.404393786639 (0.00581105783142),0.426776326104 (0.00746799319734),0.350144064818 (0.00641119835701),0.316180460719 (0.00694829651339),0.209415396777 (0.00526376552727),0.158075249064 (0.00372523013875),0.143496464268 (0.00331027528634),0.121506404877 (0.000872030251869),1.35360069275 (0.015134132245)
0.840119868731 (0.00497146066949),0.93672 (0.00148497661785),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.473151232512 (0.0151770110462),0.354348550483 (0.00883786848596),0.232927845359 (0.00539395452222),0.200746567124 (0.00516149910569),0.118790447077 (0.00316632085358),0.0860139549353 (0.00217061314659),0.0774008862398 (0.00185153911413),0.354125077603 (0.00436032107049),0.530326865953 (0.00429700482612),0.697114001286 (0.00402602632736),0.750929756275 (0.00448010866801),0.88865322629 (0.00628916961505),0.965170451554 (0.00411759992317),0.984348678653 (0.00322189978096),0.405018329204 (0.00797287156312),0.424775934581 (0.00684881044269),0.349144812927 (0.00607080892629),0.316771733224 (0.00659674408337),0.209554499728 (0.00501546372572),0.157944752068 (0.00368152520915),0.143511219732 (0.00318506185893),0.132807540894 (0.00161258467359),2.76839299202 (0.015390229571)
0.838616748021 (0.00543753434552),0.93666 (0.00153150615771),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.470820429523 (0.0156931269432),0.353415528157 (0.00976881276963),0.2323946009 (0.00616753034671),0.199706705773 (0.00561320244957),0.118418772082 (0.00317317781006),0.0859332150837 (0.00225300412269),0.0772634095258 (0.00186371787442),0.352448706774 (0.00661062902984),0.528911138676 (0.00618131093223),0.695466604076 (0.0053165504146),0.747006172945 (0.00646353635214),0.885869532926 (0.00771210467732),0.964250819039 (0.00454148242914),0.982648672023 (0.00297065124124),0.403068099495 (0.00934397893371),0.423651219937 (0.00818244558588),0.348339140704 (0.00726989381157),0.315127919687 (0.0073532150074),0.208898724442 (0.00504098044),0.157796300991 (0.00383264279213),0.143256810366 (0.00320722303102),0.121813011169 (0.00100548426987),1.45412755013 (0.0166170232136)
0.843349915051 (0.00478316087605),0.93664 (0.00128847886198),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.473684210526 (0.0157262386396),0.356081306231 (0.0101828709723),0.23469421763 (0.00584672214887),0.201839754699 (0.00549868095275),0.11927204853 (0.00322672702187),0.0861561708369 (0.00229722431286),0.0774871573664 (0.00180009600288),0.354528941598 (0.0056242204243),0.53291342093 (0.00829207531289),0.702381385635 (0.00554824499138),0.75499326709 (0.00523980127887),0.892244175021 (0.00768430005645),0.966730673849 (0.00410828701255),0.985460025652 (0.00266323577879),0.405478011049 (0.0088665247742),0.426850861228 (0.00902888331936),0.351790074969 (0.00678952152324),0.318494461775 (0.00712446923729),0.210403742179 (0.00513092355782),0.158205417204 (0.00391127132522),0.143671329551 (0.00308864244982),0.134143590927 (0.00131567094617),2.55462641716 (0.0149347565193)
0.839631434765 (0.00474127437152),0.936613333333 (0.00126694733733),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.474217188541 (0.0143780636485),0.356481172942 (0.00945177170185),0.233261123146 (0.00628950904583),0.200373283562 (0.00587799165046),0.118418772082 (0.00315689088344),0.0860050664415 (0.00215064818592),0.0773459864319 (0.0017731734305),0.354949139243 (0.00478802096001),0.533525182814 (0.00702757539345),0.698062115185 (0.00632471759965),0.749474117827 (0.00654347817876),0.885862100431 (0.0064118495638),0.965074898868 (0.00377668518257),0.983673133457 (0.00317692429256),0.405947954314 (0.007679085174),0.427334448518 (0.00800501094879),0.349638232921 (0.00748298492389),0.316177414995 (0.00774155078453),0.20889851954 (0.00500093827019),0.157928484897 (0.00364414900337),0.14340967073 (0.00303989289672),0.132061195374 (0.00147823503964),2.73093657494 (0.0528384139837)
0.842196543914 (0.00480468208437),0.936593333333 (0.00136453492281),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.475016655563 (0.0163299279945),0.357614128624 (0.00918243500148),0.233794367605 (0.00541204543352),0.201114284913 (0.00571775212849),0.119205386308 (0.00324759301202),0.0860672858984 (0.00224257950359),0.0773604588546 (0.00184018932626),0.355528362507 (0.00661786522406),0.535213066804 (0.00531694429213),0.699717519737 (0.00549405408749),0.752291276624 (0.00718718016037),0.891739281371 (0.00737488873488),0.965746852422 (0.00374490379316),0.983850531674 (0.00241309900412),0.406619947073 (0.00967295988725),0.42869021854 (0.00737351993009),0.35044495682 (0.00616206751571),0.317350813372 (0.00752366490353),0.210285967628 (0.00516386970478),0.158042387869 (0.00381177503023),0.143436433973 (0.00316325760013),0.132701730728 (0.000468729219016),2.56385183334 (0.0186935567386)
0.843627664529 (0.00454737416783),0.936573333333 (0.00154594810895),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.478081279147 (0.0162842010579),0.357947350883 (0.0108987623308),0.234494250958 (0.00578925676615),0.202106385815 (0.00570740081113),0.119098726752 (0.00286123080941),0.0862361672815 (0.00233576359531),0.0774479432179 (0.00183579183796),0.357846062423 (0.00757810449205),0.535664006605 (0.00739341527351),0.701788892152 (0.00580152375484),0.755974540522 (0.00593356811395),0.890994851096 (0.00439505700953),0.967618698912 (0.00453539091964),0.984950875903 (0.00275385381805),0.409259065058 (0.0101557496441),0.429074315651 (0.00952588770749),0.351491110621 (0.00672379327105),0.318913780933 (0.00745928265949),0.210099300402 (0.00446791989298),0.158352189479 (0.00398256465357),0.14359850765 (0.00315488775916),0.133899354935 (0.00165143164933),2.56310896873 (0.0335360738123)
0.839351857989 (0.00579554527292),0.936566666667 (0.00148787693637),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.472485009993 (0.0160469758479),0.355299792954 (0.00803870410908),0.232361273121 (0.00645269175442),0.200479936009 (0.00550023220751),0.118525431638 (0.0032480308553),0.086031731923 (0.00219302759258),0.0773453778145 (0.00184566466726),0.353662094519 (0.00765054447963),0.53185315594 (0.0046314482616),0.695354647262 (0.00636941003084),0.749916393367 (0.00681592643074),0.886647426069 (0.00717388374242),0.965364256588 (0.00426040605687),0.983650273659 (0.00278444900389),0.404471560774 (0.0101018278036),0.425949662739 (0.00600898591333),0.348287563951 (0.00771818980583),0.316349555685 (0.00718354798529),0.209086340671 (0.00516606651928),0.157977319958 (0.00372275781192),0.143408383284 (0.00317395221876),0.121738910675 (0.000651339608134),1.47102499008 (0.0178029821342)
0.842087668074 (0.00485003743137),0.93656 (0.00143981480291),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.473417721519 (0.0129501045328),0.355814728424 (0.0098566220541),0.235386066112 (0.00590976783918),0.201653112918 (0.00577956386854),0.119165388974 (0.00350483568898),0.0860495089107 (0.0022581673004),0.0773146151131 (0.00175591831724),0.354380049681 (0.00472742682381),0.532519811459 (0.00770345846491),0.704467140117 (0.00509455544308),0.754264706537 (0.00520444796684),0.891383635429 (0.00724275571135),0.965540624059 (0.00310782106419),0.983278340961 (0.00297249987634),0.405282784846 (0.00681396217697),0.426533047674 (0.00857656619251),0.352829258938 (0.00686760715263),0.318197257432 (0.00755009990447),0.210213855561 (0.00560671321218),0.158009650437 (0.00383866156855),0.143351547506 (0.00300747925856),0.121771383286 (0.00119786005596),1.35728178024 (0.016618365773)
0.859857398054 (0.00222021060705),0.936 (0.00136821051012),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=200, random_state=None)",0.479013990673 (0.0103896541983),0.36034655115 (0.0108848977718),0.2395934011 (0.00545028924426),0.206793701833 (0.00480626681021),0.123360111991 (0.00274845252664),0.0871953460538 (0.00197260786892),0.0778002484051 (0.0017591221819),0.358620033905 (0.00481111033856),0.539272341621 (0.00836924830927),0.717073572569 (0.00494672993394),0.773605482623 (0.00180228985013),0.922941295017 (0.00290476969322),0.978493464553 (0.00342469251126),0.989462137761 (0.00224564570361),0.41010693769 (0.00527262471166),0.431956598271 (0.0097515834062),0.35913752998 (0.00614782676637),0.326318785507 (0.00594449681611),0.217618608398 (0.0042414529518),0.160114997826 (0.00331272386183),0.14425206368 (0.00301126765476),0.595850372314 (0.0949817529215),21.0720359325 (4.88226804381)
0.851620731788 (0.00328461367815),0.935966666667 (0.00100509811572),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=200, random_state=None)",0.445303131246 (0.0119593900985),0.350902576345 (0.0102257226548),0.232004146728 (0.00652215219758),0.197514683857 (0.00554428118789),0.123560967841 (0.00282715468968),0.0869546152391 (0.0021095762641),0.0777155066289 (0.00185441300344),0.333323364443 (0.00306691475295),0.525409949463 (0.00643145191168),0.695123845664 (0.00533239718226),0.73892659601 (0.00671736084808),0.925452294544 (0.0053948872901),0.975963755604 (0.00353700036945),0.989145317999 (0.0019094183898),0.381206980831 (0.00561157295896),0.420719949602 (0.00871436686813),0.347858591724 (0.00781091130124),0.311680084209 (0.00728905502542),0.218000064425 (0.00437659345373),0.159675240403 (0.00356512257651),0.144102789455 (0.00318335017097),0.290335321426 (0.0509871911548),20.8889861584 (5.7036111091)
0.851374330212 (0.00338445909182),0.935893333333 (0.00104783374423),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=100, random_state=None)",0.445110450113 (0.0119376714377),0.350991190219 (0.0107611154944),0.232225801773 (0.00684182731463),0.19709841126 (0.0058412793843),0.123577327365 (0.00277585046114),0.0867328257681 (0.00200762911347),0.0776771957127 (0.00182924052662),0.333224256415 (0.00309951389713),0.525488855766 (0.00686238969725),0.695121486858 (0.00623994994292),0.73911002932 (0.00730150195682),0.925142028197 (0.00558338236902),0.976161492281 (0.00378924747269),0.989044949302 (0.00209771474924),0.38107167638 (0.00561444752356),0.420809527616 (0.00934334330822),0.348105726287 (0.00825826606457),0.311176847771 (0.00774202055891),0.218018011254 (0.00431350114587),0.159304540591 (0.00339537177244),0.144036025147 (0.00314096669711),0.195849752426 (0.045979407446),12.7491276264 (2.57475656438)
0.860243579514 (0.00269433187215),0.9358 (0.0013977760113),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=100, random_state=None)",0.478214523651 (0.0109341709468),0.359813395535 (0.0124758698667),0.239802993315 (0.00565503449849),0.20711756007 (0.00543813778819),0.123541676806 (0.00278215203941),0.087244736036 (0.00199829562671),0.0778282483979 (0.0017298005052),0.35801280952 (0.00485506260975),0.538432558012 (0.0104219384751),0.717760141657 (0.00503898483459),0.774846740118 (0.00320298707431),0.924330873376 (0.0026180767149),0.979087468162 (0.0041336929111),0.98996804698 (0.00283947289645),0.409416823662 (0.00564748936974),0.431304162401 (0.0117169294066),0.35945889426 (0.00644485594704),0.32683277516 (0.00695468698636),0.217939817375 (0.00429993801778),0.160206249158 (0.00336245966594),0.144305641357 (0.00295913278566),0.366114664078 (0.0787128102126),13.3713963985 (3.050377797)
0.859086595809 (0.00282578915438),0.935706666667 (0.00139799856938),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",0.474822200202 (0.0131498112234),0.358334663318 (0.0115820650742),0.238495197367 (0.00641877965834),0.205901465332 (0.00561365112569),0.123447173823 (0.00295785684131),0.0871650633248 (0.00190452051224),0.0777658323996 (0.00178897336495),0.355482687359 (0.00523659286887),0.536480405783 (0.0105843966455),0.713819811266 (0.00635636684432),0.770353533969 (0.00580678444864),0.923999005257 (0.00259005684545),0.978311719447 (0.00401663238421),0.98955872445 (0.00235538789794),0.406518017316 (0.0071901529832),0.429615427386 (0.0109473270753),0.357495605411 (0.00763868285808),0.324918727129 (0.00729278064302),0.217783596359 (0.00461304746951),0.160061548866 (0.00318997519473),0.144193823052 (0.00306477355484),0.243587398529 (0.0271487075265),8.18403706551 (0.888232323682)
