AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.810712441033 (0.00363834840843),0.9342 (0.00191728975379),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.419059346102 (0.0107111122662),0.29989655789 (0.0086215162104),0.221769478709 (0.00595637665651),0.176467225995 (0.00485381058065),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.341789156888 (0.00527787306651),0.539404635393 (0.007668490834),0.670355629278 (0.0039033970517),0.747341212221 (0.0067941438299),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.376470354838 (0.00700083590383),0.385398183574 (0.00765367699705),0.333235415035 (0.00677535899129),0.285476499071 (0.0063126818166),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.120433807373 (0.000356109032411),0.89077372551 (0.053297896572)
0.807755290275 (0.00210943180132),0.933913333333 (0.00164338404249),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.423999173335 (0.013172111545),0.299635656164 (0.00863689758353),0.220153409437 (0.00684917830953),0.175829694814 (0.00577051605216),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.34543093557 (0.00680427767615),0.535914445846 (0.00924279712751),0.663483203836 (0.0078506968736),0.743096053658 (0.0067202546813),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.380666246646 (0.00887440361981),0.38430987126 (0.00846600288362),0.330569027741 (0.00842699439692),0.284330353686 (0.00775185343333),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.120514583588 (0.00123883658681),0.91477394104 (0.0129283421237)
0.833957962837 (0.00370975130439),0.935586666667 (0.00128713290344),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.44538073986 (0.011976488151),0.335589861994 (0.00784439621497),0.226705805282 (0.00512295424674),0.192218683147 (0.00676402235319),0.11508609748 (0.00352486577814),0.0782099693525 (0.0099326619012),0.06684 (0.00160518603975),0.341572183726 (0.00571929190323),0.509694071275 (0.00722392985852),0.693129809648 (0.00857510902039),0.75239211009 (0.00339745913703),0.899728806878 (0.00527779878503),0.977774363116 (0.0182999411472),1.0 (0.0),0.386533444481 (0.00584232047198),0.404675930492 (0.00724127157889),0.341619243989 (0.0058520630899),0.306158704333 (0.00882240151486),0.204053120345 (0.00561423488809),0.144626406035 (0.0169084777808),0.125300392819 (0.00282143439235),0.252476644516 (0.00090083413371),3.26800804138 (0.0332628104891)
0.834492936575 (0.00304921495317),0.935666666667 (0.00131199593495),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.447664486564 (0.0116406602732),0.336118328252 (0.00704371780467),0.227429134186 (0.00438887740001),0.1927913907 (0.00585933147573),0.115291925665 (0.00336312205132),0.0779069354558 (0.00954396688626),0.06684 (0.00160518603975),0.340591615435 (0.00708290073159),0.512545475913 (0.00856373705481),0.69501293152 (0.0108412167691),0.755814979646 (0.00347675378044),0.901364882395 (0.00405505600318),0.975183916516 (0.0203314206019),1.0 (0.0),0.386828469937 (0.00837228204318),0.405904176188 (0.00513151905297),0.342672970034 (0.00512539082371),0.30717892311 (0.00760746460633),0.20441790353 (0.00530563535619),0.144085248002 (0.0162248271719),0.125300392819 (0.00282143439235),0.250753450394 (0.000713873073577),3.27401070595 (0.048765599355)
0.834077419167 (0.00397640271476),0.935413333333 (0.00134785426182),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.445837578953 (0.0129978363969),0.336312139517 (0.00826057159001),0.227894282994 (0.0071193609649),0.191859239069 (0.0068035488278),0.115634577616 (0.00331704881637),0.0780524187486 (0.00998951553594),0.06684 (0.00160518603975),0.342415982718 (0.00878122941549),0.510935461364 (0.00550356338637),0.686282501857 (0.00647569073492),0.752628833158 (0.00668620656147),0.900267586862 (0.00447895239699),0.975004606844 (0.0207838529976),1.0 (0.0),0.387304844785 (0.00985289185199),0.405580707676 (0.00694495353936),0.342112226628 (0.00839995057226),0.305714383297 (0.00884674417086),0.204928864864 (0.00524467377835),0.144315560455 (0.0169846428007),0.125300392819 (0.00282143439235),0.251359844208 (0.000869585905703),3.24532485008 (0.0553339413459)
0.826581847097 (0.00421068336847),0.933973333333 (0.00131612225032),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.429209078912 (0.0125741221163),0.32396987115 (0.00788081623063),0.221112755437 (0.00647490047613),0.194028739068 (0.00593971079102),0.118829437551 (0.00310325130508),0.0852616602538 (0.00221730941512),0.06684 (0.00160518603975),0.323691355253 (0.0063786600307),0.495306030879 (0.00110954764673),0.671780142464 (0.00718092984926),0.729139903762 (0.00704755383225),0.889053885156 (0.00512748228147),0.957689551039 (0.0028988924045),1.0 (0.0),0.368985296409 (0.00737254497288),0.391671745968 (0.00594934308602),0.332645675574 (0.00722842125949),0.306464735158 (0.00785772435147),0.209626353269 (0.00490089238482),0.156575603955 (0.00375531801386),0.125300392819 (0.00282143439235),0.230572366714 (0.00388516281626),3.89215397835 (0.0587685688481)
0.825570754106 (0.00218770168951),0.9336 (0.00114037031023),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.425799098564 (0.0155372620272),0.325100633161 (0.0102597301089),0.22168690083 (0.0082850887725),0.194473313402 (0.00569786976957),0.118258782748 (0.00273721287483),0.0851765625473 (0.00185101430901),0.06684 (0.00160518603975),0.321657154454 (0.00502410952765),0.495364122599 (0.00316797063384),0.672956269651 (0.00452716502874),0.72912782959 (0.00365351957687),0.88473347914 (0.00549006311507),0.956471107764 (0.00375329830733),1.0 (0.0),0.366383136861 (0.00794866058004),0.392493542393 (0.00818576617739),0.333439636309 (0.00978262789793),0.307018343238 (0.00740589835275),0.208618243449 (0.00426651736418),0.156416421042 (0.00309745709326),0.125300392819 (0.00282143439235),0.224620199203 (0.00570608838263),3.88045148849 (0.0403996647991)
0.825333469798 (0.00369401417288),0.933673333333 (0.00111383222355),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.421780829857 (0.01195610378),0.326409190118 (0.0107356400305),0.22322059287 (0.00553093228067),0.193043470475 (0.00677016682983),0.118504295767 (0.00331881534296),0.0850655071679 (0.00190097399179),0.06684 (0.00160518603975),0.321120860947 (0.00802252490237),0.494342099542 (0.00620194267511),0.67326054335 (0.00746945321278),0.730827025261 (0.00562423523567),0.886522914926 (0.00601106906702),0.95485857498 (0.00199070040222),1.0 (0.0),0.364560808419 (0.00826023837387),0.3930825499 (0.00818983542839),0.335246255589 (0.00664752583093),0.305369289762 (0.0088673886366),0.209049984153 (0.0052808162755),0.156207524656 (0.00318422390013),0.125300392819 (0.00282143439235),0.294222974777 (0.054392138763),3.80946578979 (0.0195593898276)
0.82388031581 (0.00426097044393),0.93326 (0.00128675301955),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.423047646596 (0.0113642025595),0.324333363785 (0.0108617742382),0.221414539669 (0.00777996957378),0.193174614887 (0.00505118649295),0.118125458303 (0.00283294838489),0.0848703151157 (0.0019759578002),0.06684 (0.00160518603975),0.321807353446 (0.00658427541846),0.491460638499 (0.00532721908462),0.675686923495 (0.00894827076989),0.729289608397 (0.00137888699006),0.883728013785 (0.00657851136319),0.952552786702 (0.00426998282995),1.0 (0.0),0.365468081649 (0.00662677193837),0.390655286486 (0.0079736704276),0.333448096339 (0.00894626703045),0.305410922484 (0.00638980971884),0.208382789105 (0.00444174788212),0.155847527372 (0.00332802945878),0.125300392819 (0.00282143439235),0.267966175079 (0.0565008035117),3.81725654602 (0.0330709330397)
0.830236432945 (0.00232858039213),0.934386666667 (0.0012221292894),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=5, random_state=None)",0.437602558928 (0.010238317573),0.303187859871 (0.00356729002341),0.148719248133 (0.00318638719484),0.148719248133 (0.00318638719484),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.379328920799 (0.0118890825505),0.549988580765 (0.0103252371343),0.828452020547 (0.0148178341656),0.828452020547 (0.0148178341656),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.406356709661 (0.0108293682803),0.390874679894 (0.00510549470015),0.252121463588 (0.00395530519284),0.252121463588 (0.00395530519284),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.0302392482758 (0.00612208527463),0.905645036697 (0.0135561805116)
0.820662080607 (0.00454435724716),0.93316 (0.00160518603975),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=5, random_state=None)",0.416557820299 (0.0150688738585),0.318649384849 (0.0125171957642),0.173565235242 (0.00577421755652),0.173565235242 (0.00577421755652),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.346250353039 (0.00503300821008),0.548633539261 (0.0104808828127),0.760516570875 (0.00581381687484),0.760516570875 (0.00581381687484),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.378058160691 (0.00778352854154),0.40292952788 (0.0096082104286),0.282584795712 (0.0077887335539),0.282584795712 (0.0077887335539),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.0167437553406 (0.00132500241565),0.820878601074 (0.0201813281376)
0.836700199408 (0.0034812099087),0.934866666667 (0.00104668789787),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=10, random_state=None)",0.43215510458 (0.0182944514978),0.334853234488 (0.0151150111929),0.196429651529 (0.00893993947685),0.185551369947 (0.00708315176651),0.0893635203366 (0.00437472124137),0.0704573287328 (0.0065936845452),0.0668457111921 (0.00160183871482),0.337574586938 (0.00465680406042),0.526183592348 (0.0118677212316),0.732918393172 (0.00798905431736),0.744298870136 (0.0123213711366),0.96021027986 (0.00498393660609),0.993360572012 (0.0132788559755),1.0 (0.0),0.378843265761 (0.00691835681037),0.408880534997 (0.00930267294242),0.309706917862 (0.0111076092836),0.296935200332 (0.00854738748962),0.163473735925 (0.00726853643845),0.131488282614 (0.0112576248931),0.125310446436 (0.00281553831745),0.0287425994873 (0.00211722050284),1.60232224464 (0.0400989802505)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),1.54120960236 (0.0322002207183),143.736479378 (0.953587845265)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),1.64932937622 (0.060923284767),144.133327866 (0.656888597278)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),2.57657780647 (0.424957475683),243.614549208 (50.0693893786)
