AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.813891563047 (0.00263583310746),0.933233333333 (0.00132363136862),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.416719498646 (0.0109158729401),0.32119211719 (0.00898412863993),0.218386634923 (0.00644533972015),0.192161045194 (0.00456056136584),0.114861210515 (0.00352483575576),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.32834489674 (0.00848182577678),0.484528161742 (0.00376350458195),0.670708539869 (0.00615360208497),0.718846375776 (0.00397825585441),0.879508275519 (0.00317625886248),1.0 (0.0),1.0 (0.0),0.367142114643 (0.00618217362915),0.386242373276 (0.00708229298537),0.329425094926 (0.00723570882414),0.303226980114 (0.00572188077031),0.203167801416 (0.00553637505012),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.208525371552 (0.0475539938087),2.06038999557 (0.0536794747343)
0.820662080607 (0.00454435724716),0.93316 (0.00160518603975),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=5, random_state=None)",0.416557820299 (0.0150688738585),0.318649384849 (0.0125171957642),0.173565235242 (0.00577421755652),0.173565235242 (0.00577421755652),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.346250353039 (0.00503300821008),0.548633539261 (0.0104808828127),0.760516570875 (0.00581381687484),0.760516570875 (0.00581381687484),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.378058160691 (0.00778352854154),0.40292952788 (0.0096082104286),0.282584795712 (0.0077887335539),0.282584795712 (0.0077887335539),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.0167437553406 (0.00132500241565),0.820878601074 (0.0201813281376)
0.830236432945 (0.00232858039213),0.934386666667 (0.0012221292894),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=5, random_state=None)",0.437602558928 (0.010238317573),0.303187859871 (0.00356729002341),0.148719248133 (0.00318638719484),0.148719248133 (0.00318638719484),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.379328920799 (0.0118890825505),0.549988580765 (0.0103252371343),0.828452020547 (0.0148178341656),0.828452020547 (0.0148178341656),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.406356709661 (0.0108293682803),0.390874679894 (0.00510549470015),0.252121463588 (0.00395530519284),0.252121463588 (0.00395530519284),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.0302392482758 (0.00612208527463),0.905645036697 (0.0135561805116)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),2.23477516174 (0.308114994001),192.519218636 (49.7575947631)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=2000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),2.57657780647 (0.424957475683),243.614549208 (50.0693893786)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),1.64932937622 (0.060923284767),144.133327866 (0.656888597278)
0.5 (0.0),0.06684 (0.00160518603975),"SVC(C=0.1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='sigmoid',
  max_iter=1000, probability=True, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),1.54120960236 (0.0322002207183),143.736479378 (0.953587845265)
0.720146957162 (0.00645183018964),0.922226666667 (0.00108390241463),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.338355589104 (0.0110235081529),0.270919448217 (0.00621310534091),0.189259980491 (0.0078641987138),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.262520836932 (0.00855655265062),0.413741721973 (0.0064350572071),0.574904985365 (0.0112391385584),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.295619666493 (0.00911584990006),0.327382157691 (0.00524837471211),0.284725279238 (0.00999945881485),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00824918746948 (0.00113616371622),0.538792514801 (0.0348059304003)
0.768906167961 (0.00586295689816),0.930326666667 (0.00181038976773),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.401271861992 (0.0087668316734),0.310915588229 (0.00810487817183),0.212322906051 (0.00405015130776),0.182320979264 (0.00315478515155),0.0742555496922 (0.0155473369544),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.301482062958 (0.00567369289368),0.469968355536 (0.00664007211455),0.638775764207 (0.00791966166805),0.684773406186 (0.00738039553912),0.956066536204 (0.087866927593),1.0 (0.0),1.0 (0.0),0.344238547062 (0.00549029238124),0.374193610991 (0.0070728905903),0.31867022909 (0.004363664544),0.287938617738 (0.0035557967431),0.136869874807 (0.0244130005448),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00781025886536 (0.0014949359961),0.684695625305 (0.0522615418541)
0.720511458952 (0.00502110713703),0.925406666667 (0.00137038518511),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.3648100805 (0.00792786045282),0.290034030201 (0.0088069778953),0.196976749197 (0.00287660209072),0.168534888137 (0.00375726918045),0.071498700773 (0.0086447218208),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.273908158152 (0.00297352410696),0.439068047837 (0.0111975985173),0.59380345403 (0.00683190351041),0.634975856074 (0.00748159012804),0.940040858018 (0.119918283963),1.0 (0.0),1.0 (0.0),0.312848169513 (0.0036549153534),0.349246408377 (0.00863773096453),0.295789282921 (0.00264264948479),0.266328961233 (0.00436933870131),0.132239984432 (0.0127366526693),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00833978652954 (0.00137963803165),0.691830015182 (0.0420543828807)
0.77193119992 (0.00852141517119),0.930253333333 (0.00146721201982),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.397227441567 (0.0173205756744),0.310043510744 (0.012964780748),0.210914542534 (0.00792588613833),0.183322873038 (0.00633209153632),0.0821999832486 (0.0181674400772),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.300514483442 (0.0108873258363),0.467488017799 (0.0111209647691),0.633744985275 (0.0122077006792),0.68796202649 (0.0119165885655),0.917511127314 (0.10113487639),1.0 (0.0),1.0 (0.0),0.3421137725 (0.0128763596158),0.372765841392 (0.0124796943333),0.316466283934 (0.010299308939),0.289477124062 (0.00879024420451),0.149580620597 (0.0286045242523),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00594143867493 (0.000445911774416),0.505414009094 (0.0982302081796)
0.779976400817 (0.00689589882008),0.929573333333 (0.00156011395595),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.398403088303 (0.0188449768459),0.310558334268 (0.0110371482034),0.21310484036 (0.00679224582625),0.185474022055 (0.00367422416851),0.108844820398 (0.00233827468833),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.301350813566 (0.0127890384959),0.471101778081 (0.0130907686),0.646053288421 (0.0135803439766),0.695421836546 (0.00919885291027),0.823244932692 (0.00720039539756),1.0 (0.0),1.0 (0.0),0.343108270661 (0.0148794056818),0.374252489469 (0.0108215481293),0.320426083347 (0.00827172438956),0.292815381543 (0.00461980769213),0.192261054707 (0.00372692296282),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00909066200256 (0.00236513219044),0.50366358757 (0.0372097419321)
0.781802974913 (0.00499612825623),0.929766666667 (0.000821380951001),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.399743596548 (0.0132183976217),0.315491879485 (0.00836832488426),0.216403130169 (0.00601237001583),0.18685591174 (0.00549367164479),0.109406480345 (0.00309993951194),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.300663734205 (0.0048979704106),0.476015465821 (0.00907620666292),0.649952044439 (0.00667931135425),0.705216906438 (0.00817433338349),0.821493489609 (0.00687515253987),1.0 (0.0),1.0 (0.0),0.343146992108 (0.00753819556019),0.379439397303 (0.00827184995249),0.324666319447 (0.00732510527802),0.295401793402 (0.00725560365847),0.193085377159 (0.00496321735629),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00605416297913 (0.000163243722958),0.327086210251 (0.0179976724911)
0.729686429716 (0.00696631749595),0.924673333333 (0.00103738988706),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.364833235068 (0.00858920925071),0.291437272405 (0.00555267324594),0.201090425395 (0.00457547787531),0.174624510588 (0.0033471394192),0.0905695132676 (0.0109776060872),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.274378957644 (0.00192528077974),0.441058968057 (0.00765595453624),0.608987250095 (0.00687574354033),0.657363757934 (0.00663388025422),0.786103851985 (0.107298891298),1.0 (0.0),1.0 (0.0),0.313168133753 (0.00377648639393),0.350907710794 (0.00456318006393),0.30231995223 (0.00555912716691),0.275923953869 (0.004200487554),0.161561313983 (0.0165523921469),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00769963264465 (0.000534067634931),0.5064412117 (0.0274404205095)
0.730155362473 (0.00681449265652),0.926173333333 (0.00132201865847),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.366438923255 (0.0161773175396),0.293920082179 (0.00884200972524),0.201627953109 (0.00546620250893),0.173423913895 (0.00461681530048),0.0974176454325 (0.00272205730311),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.279161113727 (0.0107950675002),0.444798229582 (0.00761442808798),0.608116938096 (0.0117737817432),0.653546743694 (0.0100686804801),0.73574083643 (0.0168088657415),1.0 (0.0),1.0 (0.0),0.316852267234 (0.0124828106726),0.353875788599 (0.00752718216482),0.302816391873 (0.00711389905454),0.274086792652 (0.00625679094095),0.172037793827 (0.0043986484741),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00780515670776 (0.000765911547918),0.545432519913 (0.0382764887959)
0.682896871768 (0.00998866222224),0.9223 (0.00106291005159),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.346221778306 (0.0165420506976),0.275858654855 (0.00996225572623),0.187074931342 (0.00540229707178),0.156229773081 (0.00865993026627),0.0842815352597 (0.00926717097192),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.267795049024 (0.00900207625863),0.425282446668 (0.00961454464071),0.562176025268 (0.00645894170369),0.595299039391 (0.00907180236117),0.732801624371 (0.134489680974),1.0 (0.0),1.0 (0.0),0.301910741122 (0.0111513236662),0.334589465965 (0.00958459090698),0.280704823656 (0.00668318195127),0.247386087225 (0.0111952495435),0.150235682813 (0.0135394258977),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00800514221191 (0.000368483638806),0.534084939957 (0.0141578451503)
0.669200341654 (0.0135525956065),0.9211 (0.000741470011381),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.336230859957 (0.0150611026855),0.268891383551 (0.0094158539838),0.181613084352 (0.00666396843092),0.151481886754 (0.00539765182266),0.0815739304339 (0.00770344811457),0.06684 (0.00160518603975),0.06684 (0.00160518603975),0.259675224799 (0.00552286088874),0.412046014605 (0.0110644253007),0.546557913494 (0.00638457237539),0.57687268503 (0.00881419610248),0.715932611529 (0.142573114465),1.0 (0.0),1.0 (0.0),0.292860086428 (0.00686604100765),0.325369600709 (0.009608071833),0.272597184746 (0.00824408106054),0.239934997187 (0.0074813997759),0.145550626051 (0.0108121657148),0.125300392819 (0.00282143439235),0.125300392819 (0.00282143439235),0.00797929763794 (0.000982876104168),0.549585819244 (0.0416622011259)
